op,'Estilo','Etiqueta Color','Talla',Suma de 'Q Req',Suma de 'Q Prog',Suma de 'Q Mer',Segundas,OP ESTILO COLOR ,Defecto,CALIDAD,Marca,MINUTAJE COSTURA,TEMPORADA,PRENDA,GRUPO TEJIDO,DISEÑO,DENSIDAD ALAV,DENSIDAD DLAV,'Est Pza','Est Bloque','Est Pda',BORDADO,LAVADO TPA,RUTA,'Descripción Lavados Paños Bloq Pzas','Descripción Lavado Teñido en Prenda','Tipo de Prenda Planeamiento','Tipo de Pedido OComercial',Se trabaja en?,LT Manufac,LT Total,TIPO DE COSTURA,Hilo
304729,S26-W1890,TREELINE G,L,216,223,0,2,304729S26-W1890TREELINE G,NUDOS/EMPALME,TERCERA,LIFE IS GOOD,6.87,SPRING 2026,T-SHIRT,JERSEY,LLANO,180,200,0,0,S,0,P,CORTE / COSTURA / LAVADOS SIMPLES / ESTAM.1 / CLASIFICADO / ACABADO,LAVADO ENZIMATICO LIFE IS GOOD,,Polo Cuello Redondo,PRODUCCIÓN,Planta,39,57,Cost. Remalle,20/1
304729,S26-W1890,TREELINE G,M,185,191,0,11,304729S26-W1890TREELINE G,HUECOS DE TEJEDURIA,TERCERA,LIFE IS GOOD,6.87,SPRING 2026,T-SHIRT,JERSEY,LLANO,180,200,0,0,S,0,P,CORTE / COSTURA / LAVADOS SIMPLES / ESTAM.1 / CLASIFICADO / ACABADO,LAVADO ENZIMATICO LIFE IS GOOD,,Polo Cuello Redondo,PRODUCCIÓN,Planta,39,57,Cost. Remalle,20/1
304729,S26-W1890,TREELINE G,S,103,109,0,1,304729S26-W1890TREELINE G,HUECOS DE TEJEDURIA,TERCERA,LIFE IS GOOD,6.87,SPRING 2026,T-SHIRT,JERSEY,LLANO,180,200,0,0,S,0,P,CORTE / COSTURA / LAVADOS SIMPLES / ESTAM.1 / CLASIFICADO / ACABADO,LAVADO ENZIMATICO LIFE IS GOOD,,Polo Cuello Redondo,PRODUCCIÓN,Planta,39,57,Cost. Remalle,20/1
304729,S26-W1890,TREELINE G,XL,181,187,0,2,304729S26-W1890TREELINE G,HUECOS DE COSTURA,TERCERA,LIFE IS GOOD,6.87,SPRING 2026,T-SHIRT,JERSEY,LLANO,180,200,0,0,S,0,P,CORTE / COSTURA / LAVADOS SIMPLES / ESTAM.1 / CLASIFICADO / ACABADO,LAVADO ENZIMATICO LIFE IS GOOD,,Polo Cuello Redondo,PRODUCCIÓN,Planta,39,57,Cost. Remalle,20/1
303196,S26-W1890,GLACIER BL,XS,18,21,0,0,303196S26-W1890GLACIER BL,SIN DEFECTO,PRIMERA,LIFE IS GOOD,6.87,SPRING 2026,T-SHIRT,JERSEY,LLANO,180,200,0,0,S,0,P,,LAVADO ENZIMATICO LIFE IS GOOD,,Polo Cuello Redondo,,,42.36413043,67.25,Cost. Remalle,20/1
303707,S26-W1127,FADED BLAC,XS,18,22,0,0,303707S26-W1127FADED BLAC,SIN DEFECTO,PRIMERA,LIFE IS GOOD,8.05,SPRING 2026,T-SHIRT,JERSEY,LLANO,180,200,0,0,S,0,P,LAVADOS SIMPLES / CORTE / ESTAM.1 / CORTE / COSTURA / ESTAM.1 / CLASIFICADO / ACABADO,LAVADO ENZIMATICO LIFE IS GOOD,,Polo Cuello V,MUESTRA DE VENTAS,Planta,43.26168224,67.59813084,Cost. Remalle,20/1
303723,S26-W1127,MOSS GREEN,XS,18,22,0,0,303723S26-W1127MOSS GREEN,SIN DEFECTO,PRIMERA,LIFE IS GOOD,8.05,SPRING 2026,T-SHIRT,JERSEY,LLANO,180,200,0,0,S,0,P,LAVADOS SIMPLES / CORTE / ESTAM.1 / CORTE / COSTURA / ESTAM.1 / CLASIFICADO / ACABADO,LAVADO ENZIMATICO LIFE IS GOOD,,Polo Cuello V,MUESTRA DE VENTAS,Planta,51,77,Cost. Remalle,20/1
304701,S26-W1890,DUSK PURPL,XS,18,21,0,0,304701S26-W1890DUSK PURPL,SIN DEFECTO,PRIMERA,LIFE IS GOOD,6.87,SPRING 2026,T-SHIRT,JERSEY,LLANO,180,200,0,0,S,0,P,CORTE / COSTURA / LAVADOS SIMPLES / ESTAM.1 / CLASIFICADO / ACABADO,LAVADO ENZIMATICO LIFE IS GOOD,,Polo Cuello Redondo,PRODUCCIÓN,Planta,34,57,Cost. Remalle,20/1
304765,S26-W10245,WATERMELON,XS,18,21,0,0,304765S26-W10245WATERMELON,SIN DEFECTO,PRIMERA,LIFE IS GOOD,6.87,SPRING 2026,T-SHIRT,JERSEY,LLANO,140,155,0,0,S,0,P,CORTE / COSTURA / LAVADOS SIMPLES / ESTAM.1 / CLASIFICADO / ACABADO,,,Polo Cuello Redondo,PRODUCCIÓN,Planta,34,57,Cost. Remalle,30/1
304731,S26-W1890,TURQUOISE,XL,260,268,0,2,304731S26-W1890TURQUOISE,FALLA DE ESTAMPADO,SEGUNDA-A,LIFE IS GOOD,6.87,SPRING 2026,T-SHIRT,JERSEY,LLANO,180,200,0,0,S,0,P,CORTE / COSTURA / LAVADOS SIMPLES / ESTAM.1 / CLASIFICADO / ACABADO,LAVADO ENZIMATICO LIFE IS GOOD,,Polo Cuello Redondo,PRODUCCIÓN,Planta,35,57,Cost. Remalle,20/1
289369,POLO TACO,PRETO C003,P,18,21,0,0,289369POLO TACOPRETO C003,SIN DEFECTO,PRIMERA,TACO,18.93,SPRING 2025,BOX,JERSEY,LYCRADO,180,190,0,0,S,S,0,CORTE / HABILITADO / COSTURA / BORDADO 1 / ESTAM.1 / ACABADO,,,Pechera Básico,PRODUCCIÓN,Servicio,41,90,Cost. Recta,40/1
286055,NU856,BK0070 JET,XXL,18,23,0,0,286055NU856BK0070 JET,SIN DEFECTO,PRIMERA,MADEWELL,18.04,SPRING 2025,T-SHIRT,JERSEY,VANIZADO,215,245,0,0,0,0,P,CORTE / COSTURA / LAVADOS SIMPLES / COSTURA / ACABADO / CLASIFICADO,,LAVADO SOLO AGUA,Polera-Capucha-Polo/Bvd c/vent,PRODUCCIÓN,Planta,45,103,Cost. Remalle,30/1
304703,S26-W1890,WATERMELON,L,933,956,0,13,304703S26-W1890WATERMELON,FALLA DE ESTAMPADO,SEGUNDA-A,LIFE IS GOOD,6.87,SPRING 2026,T-SHIRT,JERSEY,LLANO,180,200,0,0,S,0,P,CORTE / COSTURA / LAVADOS SIMPLES / ESTAM.1 / CLASIFICADO / ACABADO,LAVADO ENZIMATICO LIFE IS GOOD,,Polo Cuello Redondo,PRODUCCIÓN,Planta,36,57,Cost. Remalle,20/1
304703,S26-W1890,WATERMELON,M,607,627,0,6,304703S26-W1890WATERMELON,,,LIFE IS GOOD,6.87,SPRING 2026,T-SHIRT,JERSEY,LLANO,180,200,0,0,S,0,P,CORTE / COSTURA / LAVADOS SIMPLES / ESTAM.1 / CLASIFICADO / ACABADO,LAVADO ENZIMATICO LIFE IS GOOD,,Polo Cuello Redondo,PRODUCCIÓN,Planta,36,57,Cost. Remalle,20/1
304703,S26-W1890,WATERMELON,S,270,285,0,4,304703S26-W1890WATERMELON,,,LIFE IS GOOD,6.87,SPRING 2026,T-SHIRT,JERSEY,LLANO,180,200,0,0,S,0,P,CORTE / COSTURA / LAVADOS SIMPLES / ESTAM.1 / CLASIFICADO / ACABADO,LAVADO ENZIMATICO LIFE IS GOOD,,Polo Cuello Redondo,PRODUCCIÓN,Planta,36,57,Cost. Remalle,20/1
304703,S26-W1890,WATERMELON,XL,873,896,0,13,304703S26-W1890WATERMELON,FALLA DE ESTAMPADO,TERCERA,LIFE IS GOOD,6.87,SPRING 2026,T-SHIRT,JERSEY,LLANO,180,200,0,0,S,0,P,CORTE / COSTURA / LAVADOS SIMPLES / ESTAM.1 / CLASIFICADO / ACABADO,LAVADO ENZIMATICO LIFE IS GOOD,,Polo Cuello Redondo,PRODUCCIÓN,Planta,36,57,Cost. Remalle,20/1
304703,S26-W1890,WATERMELON,XS,31,39,0,1,304703S26-W1890WATERMELON,,,LIFE IS GOOD,6.87,SPRING 2026,T-SHIRT,JERSEY,LLANO,180,200,0,0,S,0,P,CORTE / COSTURA / LAVADOS SIMPLES / ESTAM.1 / CLASIFICADO / ACABADO,LAVADO ENZIMATICO LIFE IS GOOD,,Polo Cuello Redondo,PRODUCCIÓN,Planta,36,57,Cost. Remalle,20/1
304703,S26-W1890,WATERMELON,XXL,406,422,0,7,304703S26-W1890WATERMELON,FALLA DE ESTAMPADO,SEGUNDA-A,LIFE IS GOOD,6.87,SPRING 2026,T-SHIRT,JERSEY,LLANO,180,200,0,0,S,0,P,CORTE / COSTURA / LAVADOS SIMPLES / ESTAM.1 / CLASIFICADO / ACABADO,LAVADO ENZIMATICO LIFE IS GOOD,,Polo Cuello Redondo,PRODUCCIÓN,Planta,36,57,Cost. Remalle,20/1
304706,S26-W1890X,ATHLETIC B,XXXL,92,105,1,2,304706S26-W1890XATHLETIC B,HUECOS DE TEJEDURIA,TERCERA,LIFE IS GOOD,7.47,SPRING 2026,T-SHIRT,JERSEY,LLANO,180,200,0,0,S,0,P,CORTE / COSTURA / ESTAM.1 / LAVADOS SIMPLES / CLASIFICADO / ACABADO,,BIOKOL WASH - LIG/ LIG WASH -TRIAL 12,Polo Cuello Redondo,PRODUCCIÓN,Planta,35,57,Cost. Remalle,20/1
