Record Id;Nombre de Oportunidad;Sublínea;Familia de producto; VALORUSD 
4592454000427380000;COTIZACION FERTILIZANTES ENERO 2026;NORTE MEDIO AGRO;ACIDO FOSFORICO TG; 65,000 
4592454000256210000;Licitación Abr. May. Jun. - FRUCHINCHA;SUR CHICO AGRO;SULFATO DE POTASIO SOLUBLE; 64,253 
4592454000215380000;Etoxiquina CHI 2024-II SUR;Pesca;ETOXIQUINA LIQUIDA; 63,800 
4592454000265510000;NF JUNIO -2025;Food;LECHE DESCREMADA; 63,000 
4592454000219750000;COTIZACION OCTUBRE;SUR MEDIO AGRO;NITRATO DE CALCIO SOLUBLE; 62,550 
4592454000172380000;LECCHE DESCREMADA;Food;LECHE DESCREMADA; 62,000 
4592454000174430000;LECCHE DESCREMADA;Food;LECHE DESCREMADA; 61,000 
4592454000211080000;LECHE DESCREMADA - OCTUBRE;Food;LECHE DESCREMADA; 60,000 
4592454000188180000;LECHE DESCREMADA - PROYECTO;Food;LECHE DESCREMADA; 60,000 
4592454000292850000;COT. SETIEMBRE LABRADOR;SUR MEDIO AGRO;NITRATO DE AMONIO; 57,630 
4592454000433040000;COTIZACION FERTILIZANTES 2026;NORTE MEDIO AGRO;FOSFATO MONOAMONICO SOLUBLE; 57,500 
4592454000208520000;NITRATO DE POTASIO;NORTE MEDIO AGRO;NITRATO DE POTASIO SOLUBLE; 56,626 
4592454000199960000;INSUMOS VARIOS;Food;ACIDO CITRICO; 55,366 
4592454000284170000;Sulfato de Potasio Bimestral;SUR GRANDE AGRO;SULFATO DE POTASIO SOLUBLE; 54,600 
4592454000203150000;LICITACIÓN AMINOACIDOS JUL - AGO - SET 2024;Feed;VALINA; 54,280 
4592454000219750000;COTIZACION OCTUBRE;SUR MEDIO AGRO;FOSFATO MONOPOTASICO; 54,080 
4592454000180870000;Req. MAP-DAP - ITAGRO;CENTRO;FOSFATO MONOAMONICO GRANULADO; 54,000 
4592454000198560000;BICARBONATO DE SODIO 60 TM SETIEMBRE;Feed;BICARBONATO DE SODIO; 53,400 
4592454000238380000;Req. Enero - AGRÍCOLA COPACABANA DE CHINCHA;SUR CHICO AGRO;NITRATO DE POTASIO SOLUBLE; 53,000 
4592454000217160000;Licitación fertilizantes OCT-DIC 24;NORTE MEDIO AGRO;NITRATO DE CALCIO SOLUBLE; 52,280 
4592454000218210000;Cotización Octubre;SUR GRANDE AGRO;SULFATO DE POTASIO SOLUBLE; 51,600 
4592454000211670000;DAIRY FARMERS OF AMERICA - OCTUBRE;Food;LECHE ENTERA; 51,000 
4592454000186430000;KCl - JUNIO - GTM;CENTRO;CLORURO DE POTASIO ESTANDAR; 51,000 
4592454000426070000;(EXPORTACIÓN) METSBISULFITO DE SODIO - 81 TM - DICIEMBRE - MANUCHAR COLOMBIA CIA. S.A.S.;Químicos;METABISULFITO DE SODIO; 50,524 
4592454000292850000;COT. SETIEMBRE LABRADOR;SUR MEDIO AGRO;SULFATO DE POTASIO SOLUBLE; 50,064 
4592454000270090000;ROTACION DE MINERALES - MAYP25 - 25 TM - SOLDEX SA;Químicos;MINERALES; 50,000 
